source_id,jurisdiction,authority,source_class,source_type,document_title,official_url,publication_date,effective_date,retrieved_date,version,language,authority_level,authority_rank,status,notes,monitor_enabled,monitor_frequency,last_checked_at,last_successful_fetch_at,last_changed_at,http_etag,http_last_modified,content_hash,fetch_status,fetch_error,consecutive_failures,freshness_status,next_check_at,current_source_version,previous_source_version
src_tw_fsc_law_portal,TW,FSC,LAW_REGULATION,official_legal_portal,金融監督管理委員會主管法規共用系統,https://law.fsc.gov.tw/,,,2026-08-12,portal_live,zh-TW,AUTHORITATIVE,10,ACTIVE,High-priority continuous monitoring (Stage 3A.3).,true,high_change_source,,,,,,,,,0,CHECK_DUE,,portal_live,
src_tw_annual_report_rules_fl007032,TW,FSC,LAW_REGULATION,regulation,公開發行公司年報應行記載事項準則,https://law.fsc.gov.tw/LawContent.aspx?id=FL007032,2025-11-07,2025-11-07,2026-08-12,2025-12-19_amended,zh-TW,AUTHORITATIVE,10,ACTIVE,High-priority continuous monitoring (Stage 3A.3).,true,high_change_source,,,,,,,,,0,CHECK_DUE,,2025-12-19_amended,
src_tw_order_11403851756,TW,FSC,FSC_ORDER,fsc_order,金管證審字第11403851756號令,https://law.fsc.gov.tw/LawContent.aspx?id=GL004194,2025-11-12,2025-11-12,2026-08-12,金管證審字第11403851756號,zh-TW,AUTHORITATIVE,20,ACTIVE,High-priority continuous monitoring (Stage 3A.3).,true,high_change_source,,,,,,,,,0,CHECK_DUE,,金管證審字第11403851756號,
src_tw_order_11403851755,TW,FSC,FSC_ORDER,fsc_order,金管證審字第11403851755號令,https://www.fsc.gov.tw/ch/home.jsp?dataserno=202511120001&dtable=NewsLaw&id=128&mcustomize=lawnew_view.jsp&parentpath=0%2C3,2025-11-12,2025-11-12,2026-08-12,金管證審字第11403851755號,zh-TW,AUTHORITATIVE,20,ACTIVE,High-priority continuous monitoring (Stage 3A.3).,true,high_change_source,,,,,,,,,0,CHECK_DUE,,金管證審字第11403851755號,
src_tw_sfb_ifrs_download_area,TW,SFB/FSC,OFFICIAL_GUIDANCE,official_portal,國際財務報導準則（IFRS）下載專區,https://ifrs.sfb.gov.tw/ifrs/index.cfm,,,2026-08-12,portal_live,zh-TW,AUTHORITATIVE,20,ACTIVE,High-priority continuous monitoring (Stage 3A.3).,true,high_change_source,,,,,,,,,0,CHECK_DUE,,portal_live,
src_tw_order_11402739247_fi,TW,FSC Banking Bureau,FSC_ORDER,fsc_order,金管銀法字第11402739247號令,https://www.banking.gov.tw/ch/home.jsp?dataserno=202512160003&id=579&mcustomize=lawnew_view.jsp&parentpath=0%2C525,2025-12-16,2025-12-18,2026-08-12,金管銀法字第11402739247號,zh-TW,AUTHORITATIVE,20,ACTIVE,,true,normal_regulatory_source,,,,,,,,,0,CHECK_DUE,,金管銀法字第11402739247號,
src_tw_bank_annual_report_fl006611,TW,FSC,LAW_REGULATION,regulation,銀行年報應行記載事項準則,https://law.fsc.gov.tw/LawContent.aspx?id=FL006611,2025-12-16,,2026-08-12,2025-12_amended,zh-TW,AUTHORITATIVE,10,ACTIVE,,true,normal_regulatory_source,,,,,,,,,0,CHECK_DUE,,2025-12_amended,
src_tw_fhc_annual_report_fl006626,TW,FSC,LAW_REGULATION,regulation,金融控股公司年報應行記載事項準則,https://law.fsc.gov.tw/LawContent.aspx?id=FL006626,2025-12-16,,2026-08-12,2025-12_amended,zh-TW,AUTHORITATIVE,10,ACTIVE,,true,normal_regulatory_source,,,,,,,,,0,CHECK_DUE,,2025-12_amended,
src_tw_bills_annual_report_fl006628,TW,FSC,LAW_REGULATION,regulation,票券金融公司年報應行記載事項準則,https://law.fsc.gov.tw/LawContent.aspx?id=FL006628,2025-12-16,,2026-08-12,2025-12_amended,zh-TW,AUTHORITATIVE,10,ACTIVE,,true,normal_regulatory_source,,,,,,,,,0,CHECK_DUE,,2025-12_amended,
src_tw_securities_fin_report_fl007040,TW,FSC,LAW_REGULATION,regulation,證券商財務報告編製準則,https://law.fsc.gov.tw/LawContent.aspx?id=FL007040,2025-12-24,2025-12-24,2026-08-12,2025-12-24_Art32-1,zh-TW,AUTHORITATIVE,10,ACTIVE,Art.32-1 sustainability family for securities firms. High-priority continuous monitoring (Stage 3A.3).,true,high_change_source,,,,,,,,,0,CHECK_DUE,,2025-12-24_Art32-1,
