rule_id,jurisdiction,framework,authority,source_id,official_document,citation,paragraph,content_area,requirement_type,requirement_title,requirement_summary,entity_type,applicability_condition,applicability_condition_machine,required_action,required_data,required_evidence,reporting_period_rule,deadline_rule,assurance_requirement,transition_relief,concept_layer,international_standard_version,taiwan_recognised_version,international_effective_date,taiwan_recognition_date,taiwan_status,publication_date,source_version,rule_effective_from,rule_effective_to,rule_status,supersedes_rule_id,superseded_by_rule_id,last_verified_at,product_support_status,verification_status,version,notes
tw_ar_art7_2_sustainability_chapter,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第7條第2項,Art.7(2),Annual report,disclosure_location,Sustainability chapter for general listed/OTC companies,Companies meeting FSC-prescribed conditions must include a board-approved sustainability-related financial information chapter.,general_listed_company|general_otc_company,General listed/OTC under FL007032,"entity_type in {general_listed_company,general_otc_company} AND art7_2_condition_met=true",Prepare board-approved sustainability chapter,board approval,annual report chapter,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,FL007032_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_ar_art10_1_risk_opportunity_identification,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第10條之1第1款,Art.10-1(1),Strategy,statutory_requirement,風險與機會及重大資訊,FL007032 Art.10-1(1): 風險與機會及重大資訊.,general_listed_company|general_otc_company,General companies with Art.7(2) chapter,"entity_type in {general_listed_company,general_otc_company} AND tw_ar_sustainability_chapter_required=true",Comply with Art.10-1 item,as specified,annual report disclosures,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,FL007032_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_ar_art10_1_materiality_definition,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第10條之1第1款,Art.10-1(1),Materiality,statutory_requirement,重大資訊定義,FL007032 Art.10-1(1): 重大資訊定義.,general_listed_company|general_otc_company,General companies with Art.7(2) chapter,"entity_type in {general_listed_company,general_otc_company} AND tw_ar_sustainability_chapter_required=true",Comply with Art.10-1 item,as specified,annual report disclosures,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,FL007032_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_ar_art10_1_reporting_entity_period,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第10條之1第2款,Art.10-1(2),Reporting entity,statutory_requirement,報導個體與期間,FL007032 Art.10-1(2): 報導個體與期間.,general_listed_company|general_otc_company,General companies with Art.7(2) chapter,"entity_type in {general_listed_company,general_otc_company} AND tw_ar_sustainability_chapter_required=true",Comply with Art.10-1 item,as specified,annual report disclosures,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,FL007032_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_ar_art10_1_comparative_information,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第10條之1第2款,Art.10-1(2),Comparative information,statutory_requirement,比較資訊,FL007032 Art.10-1(2): 比較資訊.,general_listed_company|general_otc_company,General companies with Art.7(2) chapter,"entity_type in {general_listed_company,general_otc_company} AND tw_ar_sustainability_chapter_required=true",Comply with Art.10-1 item,as specified,annual report disclosures,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,FL007032_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_ar_art10_1_compliance_statement_fair_presentation,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第10條之1第3款,Art.10-1(3),Statement of compliance,statutory_requirement,認可準則聲明與允當表達,FL007032 Art.10-1(3): 認可準則聲明與允當表達.,general_listed_company|general_otc_company,General companies with Art.7(2) chapter,"entity_type in {general_listed_company,general_otc_company} AND tw_ar_sustainability_chapter_required=true",Comply with Art.10-1 item,as specified,annual report disclosures,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,FL007032_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_ar_art10_1_connected_information,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第10條之1第4款,Art.10-1(4),Connected information,statutory_requirement,連結資訊,FL007032 Art.10-1(4): 連結資訊.,general_listed_company|general_otc_company,General companies with Art.7(2) chapter,"entity_type in {general_listed_company,general_otc_company} AND tw_ar_sustainability_chapter_required=true",Comply with Art.10-1 item,as specified,annual report disclosures,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,FL007032_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_ar_art10_1_governance,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第10條之1第5款,Art.10-1(5),Governance,statutory_requirement,治理,FL007032 Art.10-1(5): 治理.,general_listed_company|general_otc_company,General companies with Art.7(2) chapter,"entity_type in {general_listed_company,general_otc_company} AND tw_ar_sustainability_chapter_required=true",Comply with Art.10-1 item,as specified,annual report disclosures,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,FL007032_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_ar_art10_1_strategy,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第10條之1第5款,Art.10-1(5),Strategy,statutory_requirement,策略,FL007032 Art.10-1(5): 策略.,general_listed_company|general_otc_company,General companies with Art.7(2) chapter,"entity_type in {general_listed_company,general_otc_company} AND tw_ar_sustainability_chapter_required=true",Comply with Art.10-1 item,as specified,annual report disclosures,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,FL007032_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_ar_art10_1_risk_management,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第10條之1第5款,Art.10-1(5),Risk Management,statutory_requirement,風險管理,FL007032 Art.10-1(5): 風險管理.,general_listed_company|general_otc_company,General companies with Art.7(2) chapter,"entity_type in {general_listed_company,general_otc_company} AND tw_ar_sustainability_chapter_required=true",Comply with Art.10-1 item,as specified,annual report disclosures,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,FL007032_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_ar_art10_1_metrics_targets,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第10條之1第5款,Art.10-1(5),Metrics & Targets,statutory_requirement,指標與目標,FL007032 Art.10-1(5): 指標與目標.,general_listed_company|general_otc_company,General companies with Art.7(2) chapter,"entity_type in {general_listed_company,general_otc_company} AND tw_ar_sustainability_chapter_required=true",Comply with Art.10-1 item,as specified,annual report disclosures,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,FL007032_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_ar_art10_1_first_year_climate_only,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第10條之1第6款,Art.10-1(6),Transition,statutory_requirement,首年得僅揭露氣候,FL007032 Art.10-1(6): 首年得僅揭露氣候.,general_listed_company|general_otc_company,General companies with Art.7(2) chapter,"entity_type in {general_listed_company,general_otc_company} AND tw_ar_sustainability_chapter_required=true",Comply with Art.10-1 item,as specified,annual report disclosures,,,,first_year_climate_only,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,FL007032_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_ar_art10_1_ghg_measurement_method,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第10條之1第7款,Art.10-1(7),GHG emissions,statutory_requirement,GHG 衡量方法,FL007032 Art.10-1(7): GHG 衡量方法.,general_listed_company|general_otc_company,General companies with Art.7(2) chapter,"entity_type in {general_listed_company,general_otc_company} AND tw_ar_sustainability_chapter_required=true",Comply with Art.10-1 item,as specified,annual report disclosures,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,FL007032_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_ar_art10_1_scope12_assurance_hook,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第10條之1第8款,Art.10-1(8),Assurance / GHG,statutory_requirement,範疇一／二確信及範疇三時程,FL007032 Art.10-1(8): 範疇一／二確信及範疇三時程.,general_listed_company|general_otc_company,General companies with Art.7(2) chapter,"entity_type in {general_listed_company,general_otc_company} AND tw_ar_sustainability_chapter_required=true",Comply with Art.10-1 item,as specified,annual report disclosures,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,FL007032_2025-12,2026-01-01,,FUTURE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
tw_ar_art2_excludes_bank_fhc_bills,TW,TW_IFRS_S1_S2,FSC,src_tw_annual_report_rules_fl007032,公開發行公司年報應行記載事項準則,第2條,Art.2,Applicability,entity_family_boundary,Banks/FHCs/bills use special annual-report rules,"Banks, bills finance companies and FHCs are carved out of the general public-company annual-report rules for covered matters.",other,Bank / bills / FHC,"entity_type in {bank,bills_finance_company,financial_holding_company} => use_fi_rule_family=true",Select FI-specific family,entity_type,license type,,,,,TAIWAN_ADOPTION,,,,,N/A,2025-11-07,FL007032,2025-11-07,,ACTIVE,,,2026-08-12,IN_V1_SCOPE,VERIFIED_AUTHORITATIVE,3A.2,
